Title,Link,Sentiment,Sentiment Score
Hyundai Motorsâ€™ related party headache - Finshots,https://news.google.com/rss/articles/CBMijAFBVV95cUxOWWMxU2JsTDg3ejNEQnNlcHpHVjZGNlNPaDAwZkZ3WDNPLTBKWW5RVzgtNGloNnRleEQ3QUhUcllVVXh1cXNjMkp6dG03aDFzaGRJU1FUVFN2RnJvaEpBdVpxa2U5cnVYTm9Wd1dPZDFwc1Z6OVlEQm4yR250TzI1Q2dwT0p3WVl4azVMMA?oc=5,Positive,0.4019
"Stock market live: Hyundai Motor India, Mobikwik, Hero Motocorp hit 52-week low; check details - Upstox",https://news.google.com/rss/articles/CBMi5gFBVV95cUxQeGx0d1dJaWkzLVRmVk1RSmdITGt2UWFGVWVxbzZqMTJob2xId2tpNjNqMEhjZ0JvazMyVk9kZThYM29oX2dYTERNbS1DSFE2cmNLaUwzQnFlcjZGbklZM0FnOWRIMmt6MGxFM21IMHdERDlBS0FURjZXVVctM2lHX2NxQjZWVi1iSnRiZWVDTC1nVkVENGZxWjRCZTdUMXhwS0w5NnJJcGRPZXpQM3ZJanp3T2VBR1FfOVFBaFd3TTdWTUtGdlpwR1FzNHBfWFlYZHdyV3dQc0VaMlU5LVdIVHdmODY5QQ?oc=5,Positive,0.3612
5 New Compact SUVs Likely Coming In 2025 - Maruti To Hyundai - GaadiWaadi.com,https://news.google.com/rss/articles/CBMiigFBVV95cUxOODA3eUJFNUFhUFBZdEJqSHlYUlc0TVhpUlFvei0xN2V5TjhjSWN6VnM4NjFEZ0ZHTTVmOTFhd01zNloxMlZ5RW5hNFAzUFpzNXF2bkhZWmlqaXAwa3FMOHdwUFg1ZmF5WENLUm9scWQ4WjkyYVpvbGQ3LWhVVUV1cWJUVVZHNzE1WUHSAaQCQVVfeXFMUFhXbFVmbmdHVVpDTFpHMnlOUzNXRGV0TnZPNnFoak9icWlKTE8tcVBZTy1NMXZ3QkUwY2hHQTJTb3RpV3diZWJEVkdwZzFFNzRMUXRCdHpaWXVZU3V0TzNzamk0Z3dfWTFpeXBVZ1Z6NlVVTVRqSjFpLUpCdEsyc21wUXRPQ1NXLTM5RnZhakFEVGJWTkdldmJHTXVpcGgzZlNYazFialIzUUFHN285b3RQVTd3MVVaUkhzX05VLVpDMEZETDlndVZKZUp1dm1oaFdsaU9xNHhfWko2dFVGNTBpd1lVUEpzYnpMM0hUM0h3TFgtNzhyUnlVUFJkZmRQWmRnZmh5SUVZM2VZQjZPMHQwcnFVZWt3eUsyanB1WlBHMk0xZQ?oc=5,Neutral,0.0
Extremely relaxing road trip to beautiful Coonoor in our Hyundai i20 - Team-BHP,https://news.google.com/rss/articles/CBMilwFBVV95cUxQRHByT0hDQjgxdG1MVEhqeWJlLWJVdnBQYUNVVGQ4Vkl6RnBGd3B6Qll6czRQbzhTY2J4SUFNZ0U1QW5YVEM3R29ZT1ZfbnJxYi1xWUlXaTQxX0Y1ZmxWN2pSZ3hsaE9fb1hjZFp4QlJZS2ZwbmFZNXJDZmxjTXczeXMxaXJRZjNOWE1keU9FSkE2WWtXdnFr0gGcAUFVX3lxTE82N0Y2ckFhQnlmd1o2SXFvUlNQcm5HcE4yNmJybTgwYWNEZk1HTm02T0pvQWhyLU5RX3lJanQ4cXhHUk1OZTNsRVJlZTI5dXVheG9ta2hBSEdoUnJhcFJkMVZKOWVqQm9OdUYxNjFMUFBPTm1zeHVOcG5GVzZWVWpwSHhaSFBnSXhYUVhFWWJpRW5OZi1HbGpVb1F3ag?oc=5,Positive,0.8122
"Curtains down on this sedan? Long time rival of Honda City, Hyundai Verna - India Today",https://news.google.com/rss/articles/CBMizAFBVV95cUxObGtiTjFhYWs0SEZhQWFGekVtWmhKMlg1cWt6RjZQR3pqMXotTFlqbGU5TnFGV3NYRTNrY0pqc192R2hySzFnWXJ3QnJBUE40cTZSaDVYOHVpUkNWYVFubmp2WXFQODduVFV5WFVQSEV5WGEyWWQwUlFRRXA1RUFVT3QybGFQS25HdkRRX0w5NGYzU1I1cXRrcGt5dnZjeWdTWUs2c0VhR1l6QVYyVW1wYTZqZ19YY2s4UGRIZjFWdjQ2dmxTb3FpM1NKR3PSAdIBQVVfeXFMTkV6VVZGdTVNYXR0RkJSNVBmUHhtUHFnMVdXRHhJUXBicDlkNnNEOWxZNjhGR3hnOGZRZ2Zpd3A3U0JScDI0ZEhPalNrTUJmQWc1WjczYXBBRzVyUUpUcTcwTktsczZtN2hLb05kZE1vc2lGVnFkSzRkT2ppYmtPZUlKekhkRWx1QzRDVk92Q1VIaVFPbGNFSTVtc2lRY2VZTndKRUhoQjV1UnFFa3Y5d1BwdzdGd1pFMFJRRUdfNzE2SGNkbWpHVG5aMWI0b1lNM2x3?oc=5,Neutral,0.0
Next-Gen Hyundai Creta Hybrid In The Works - Key Details - GaadiWaadi.com,https://news.google.com/rss/articles/CBMihAFBVV95cUxPYllTZjBIOWprX0NNaTVsaXJyUDIxNlNXZlVsSjg3Z3FDZ1lid2d1WjJyWlVfcVVucFFVVjdzVC1ERzZtX1pQeVNtZERnWkV2ck9WUWdyUWx2VVFKOG9qRHpWM0NTUE4zMW5NLWRpUzhKSi12dzV6cW1kV2IwM1FmTUxWN2HSAZ8CQVVfeXFMTkp5WUxZUGlETkdSamtDdUlvd25POGx4U05vZ1M3bHZXajZRV053Y0RPdHM3ZW9fZXdlWjVFc2k3Y00wd0tSbU80SllRUUJuanRaWHF6YnA2Smlrd2RTYU84enEtU1QzdzRWajRZZk5zMkRLWWVkVXotSHQtUFJlVzBRV2FrYkZRcHpneHVlSjhUbnlHTFRjVF9tcmZnQU9FUFgya2IwSDVjUlNsTkFTdUZfUkNoYm1GVjVPeElrTWhhdTlUUGRGakhKT2c4ZjVlUlViLVdVWW9kLTNjakhEdUQtVU4xZGZmUEJDQ2xpa3lGU1dSUVlLdVJOWlF0OEc1VzVLMXo4c1BISUczM1hXS0lRem9fMDU5eURrMzk1OEE?oc=5,Neutral,0.0
"Hyundai Creta long term review, 9,800km report - Autocar India",https://news.google.com/rss/articles/CBMinAFBVV95cUxPektONzk3bkZ2M1dmc29zU1dndzYzX19tMmNGSW1fX19BY004S25GdHdIaGI0RTlkYmY3YlBya2J3QkxwYjRwM3BiYTBTcklLR2tFSG14bzVqUkpvX1BMMVVIbk1mQlIwUjFMdDVzQXZHMEFKQ1VMZmd2clVPcFNEWmV4cDZwTWdHbHJpUlhQU2M2U0tqRXdVM0pBelnSAaIBQVVfeXFMT0liaUMtay12WXkwOFVaTVR1SjhCQ3Ixc1paOEtxSTBidE5CVVZKOW5zSDZQWnhDQmxYbzl6c1M2dWRRb2JtQjhsSzVOajNFeFhuNzNZOFluV1dTSzg3d1l2Uk5zRHEtOUJLckRtc3ZzV3ltc2Q1U2VNbW1EaGlySFZmdG9sME1YV2FOSFIyZjU0WXRpcVdPY2xiMnJzNE9KSFVn?oc=5,Neutral,0.0
"Hyundai Creta Electric SUV's Owner: Mercedes Features, Alto Mileage [Video] - CarToq.com",https://news.google.com/rss/articles/CBMinwFBVV95cUxNZk9vc0ZwTVdQYlNyZUxvczBuc3BPLThOQVM0SlIzOElGVjhNZGgyWlNBQWk0UVBNWFdaY1VGS0hsdWlJdnJ3X3UxX1JUa2FUc3ZfbnA2MlRiZ3ZseUpiNjlXVVZmcV9jM1dYTHVoZndPOGJNNnU2dV9mNG83M2V0WkI2QThZWk5Fa0lvUlRnalo2dnJLYzBQNnRRMFlfMVE?oc=5,Neutral,0.0
Tata Sierra Test Unit Spotted next to Hyundai Creta - CarTrade.com,https://news.google.com/rss/articles/CBMiigFBVV95cUxQUFAyandNdC1Pa1dCbTRxMzFESUhEakZ5eEFHSGt4UVdxQ21KbDAxbTA2b09OWVlNT0Joemtyemt6SkpVLVJmRHlsSUlOYl9Teml3WDZabWJ5M1RLZW5ub3R6cWRhQmQ3ZGZ6emI0WDUxWjVrNS1XdVI3anIxYlgtaXM1VUNrOEw3WHc?oc=5,Neutral,0.0
Shinhan Bank partners with Hyundai Mobis for loan services to suppliers - Korea Economic Daily,https://news.google.com/rss/articles/CBMidEFVX3lxTE84U2VETHV0YV9BVUxQd0VyQ2lKanNvVi04eldTTDg5OTJ1WS1vMFhpalNkd003QUxqVWpYemk0cVQyaHIwY2Z0SGc3YnM0WWFiZlN1M1lIMGthLUFONmFDUFFpdHdKVUNHRkJfY1BoTEthMWVW0gFeQVVfeXFMT18xRGJ1QXM3VW9sdFUtc2FqZjhyeGxkSTUtVnVtd1BudF8tYUktS0oyTjFQbUdJc2tKdVAwZ3ZzNDRXMEM1WXVicWVMSEh2azQ0U2FhaG0zNGxaeEc2UQ?oc=5,Neutral,0.0
